officename,pincode,officetype,deliverystatus,divisionname,regionname,circlename,taluk,districtname,statename,telephone,relatedsuboffice,relatedheadoffice,discom
Sankisa B.O,209652,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Neebkarori S.O,Fatehgarh H.O,DVVNL
Sarah B.O,209601,B.O directly a/w Head Office,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,,farrukhabad,UTTAR PRADESH,,,Fatehgarh H.O,DVVNL
Sarai Prayag S.O,209735,S.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,05691-235021,,Fatehgarh H.O,DVVNL
Sarai Theku B.O,209728,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Saurikh S.O,Fatehgarh H.O,DVVNL
Saraimira S.O,209727,S.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,05694-237187,,Fatehgarh H.O,DVVNL
Sarifabad B.O,209747,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Sakrawa S.O,Fatehgarh H.O,DVVNL
Sataura B.O,209731,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Talgram S.O,Fatehgarh H.O,DVVNL
Saunsarapur B.O,209733,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Jalalabad S.O (Kannauj),Fatehgarh H.O,DVVNL
Saurikh S.O,209728,S.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,05691-263221,,Fatehgarh H.O,DVVNL
Shamsabad S.O (Farrukhabad),209503,S.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,05690-274226,,Fatehgarh H.O,DVVNL
Shukrullapur B.O,209504,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Manjhana S.O,Fatehgarh H.O,DVVNL
Sikanderpur Khas B.O,209505,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Kampil S.O,Fatehgarh H.O,DVVNL
Sikanderpur S.O (Kannauj),209729,S.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,05691-261024,,Fatehgarh H.O,DVVNL
Silsanda B.O,209502,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Kaimganj S.O,Fatehgarh H.O,DVVNL
Simaria B.O,209736,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Khairnagar S.O,Fatehgarh H.O,DVVNL
Singanpur B.O,209602,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Central Jail S.O,Fatehgarh H.O,DVVNL
Singhirampur B.O,209724,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Kamalganj S.O,Fatehgarh H.O,DVVNL
Sirauli B.O,209651,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Mohamdabad S.O,Fatehgarh H.O,DVVNL
Sirmaura Banger B.O,209501,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Nawabganj S.O (Farrukhabad),Fatehgarh H.O,DVVNL
Sitauli B.O,209749,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Yaqutganj S.O,Fatehgarh H.O,DVVNL
Siwara Khas B.O,209505,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Kampil S.O,Fatehgarh H.O,DVVNL
Sursi B.O,209734,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Thathia S.O,Fatehgarh H.O,DVVNL
Tahpur B.O,209731,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Talgram S.O,Fatehgarh H.O,DVVNL
Tajpur B.O,209651,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Mohamdabad S.O,Fatehgarh H.O,DVVNL
Talgram S.O,209731,S.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,05691-242040,,Fatehgarh H.O,DVVNL
Tera Jaket B.O,209735,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Sarai Prayag S.O,Fatehgarh H.O,DVVNL
Tera Rabbu B.O,209722,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Gurusahaiganj S.O,Fatehgarh H.O,DVVNL
Teramallu B.O,209727,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Saraimira S.O,Fatehgarh H.O,DVVNL
Thathia S.O,209734,S.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,05694-244256,,Fatehgarh H.O,DVVNL
Tidiyapur B.O,209727,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Saraimira S.O,Fatehgarh H.O,DVVNL
Tirwa Ganj B.O,209732,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Tirwa S.O,Fatehgarh H.O,DVVNL
Tirwa S.O,209732,S.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,05694-261021,,Fatehgarh H.O,DVVNL
Todarpur B.O,209720,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Bishungarh S.O (Kannauj),Fatehgarh H.O,DVVNL
Ugarpur B.O,209503,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Shamsabad S.O (Farrukhabad),Fatehgarh H.O,DVVNL
Ugrapur Sultan Patti B.O,209743,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Khimseypur S.O,Fatehgarh H.O,DVVNL
Ukhra B.O,209501,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,,Nawabganj S.O (Farrukhabad),Fatehgarh H.O,DVVNL
Umarda S.O,209738,S.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,05694-281040,,Fatehgarh H.O,DVVNL
Umrain B.O,209736,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Khairnagar S.O,Fatehgarh H.O,DVVNL
Uncha B.O,209722,B.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Kannauj,kannauj,UTTAR PRADESH,,Gurusahaiganj S.O,Fatehgarh H.O,DVVNL
Yaqutganj S.O,209749,S.O,Delivery,Fatehgarh,Kanpur,Uttar Pradesh,Farrukhabad,farrukhabad,UTTAR PRADESH,05692-258120,,Fatehgarh H.O,DVVNL
Abhaipur B.O,212665,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Mauhar S.O,Fatehpur H.O,PuVVNL
Aboonagar B.O,212601,B.O directly a/w Head Office,Non-Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Afoi B.O,212653,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Erayan S.O,Fatehpur H.O,PuVVNL
Ahewa B.O,212651,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Husainganj S.O (Fatehpur),Fatehpur H.O,PuVVNL
Ahmadpur Kusumbha B.O,212641,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Dhata S.O,Fatehpur H.O,PuVVNL
Ailai B.O,212655,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khaga S.O,Fatehpur H.O,PuVVNL
Ainjhi B.O,212620,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Asother S.O,Fatehpur H.O,PuVVNL
Ajamatpur B.O,212661,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Lalauli S.O,Fatehpur H.O,PuVVNL
Akbarpur Churai B.O,212652,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Hathgaon S.O,Fatehpur H.O,PuVVNL
Alamganj B.O,212635,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Bindki S.O,Fatehpur H.O,PuVVNL
Alampur B.O,212659,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Kora Jahanabad S.O,Fatehpur H.O,PuVVNL
Alampur Giriya B.O,212655,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khaga S.O,Fatehpur H.O,PuVVNL
Allipur B.O,212653,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Erayan S.O,Fatehpur H.O,PuVVNL
Amaon B.O,212655,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khaga S.O,Fatehpur H.O,PuVVNL
Amauli S.O,212631,S.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Amilihapal B.O,212650,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Chheolaha S.O,Fatehpur H.O,PuVVNL
Andipur B.O,212620,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Asother S.O,Fatehpur H.O,PuVVNL
Anjana Bhairaon B.O,212658,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Kishanpur S.O (Fatehpur),Fatehpur H.O,PuVVNL
Arhaiya B.O,212656,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khakhreru S.O,Fatehpur H.O,PuVVNL
Arhauli B.O,212641,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Dhata S.O,Fatehpur H.O,PuVVNL
Arhawal B.O,212661,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Lalauli S.O,Fatehpur H.O,PuVVNL
Asani B.O,212651,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Husainganj S.O (Fatehpur),Fatehpur H.O,PuVVNL
Ashok Nagar Bharsawan B.O,212664,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Malwan R.S. S.O,Fatehpur H.O,PuVVNL
Asother S.O,212620,S.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,05183-236203,,Fatehpur H.O,PuVVNL
Aung B.O,212665,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Mauhar S.O,Fatehpur H.O,PuVVNL
Aurai B.O,212622,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Bahrampur S.O,Fatehpur H.O,PuVVNL
Ayah B.O,212601,B.O directly a/w Head Office,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Bahrampur S.O,212622,S.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,05180-242228,,Fatehpur H.O,PuVVNL
Bahua S.O,212663,S.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Baigaon B.O,212653,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Erayan S.O,Fatehpur H.O,PuVVNL
Bakewar Sarai B.O,212657,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khajuha S.O,Fatehpur H.O,PuVVNL
Bamharauli B.O,212641,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Dhata S.O,Fatehpur H.O,PuVVNL
Banarsi B.O,212601,B.O directly a/w Head Office,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Bandipur B.O,212652,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Hathgaon S.O,Fatehpur H.O,PuVVNL
Banthara B.O,212659,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Kora Jahanabad S.O,Fatehpur H.O,PuVVNL
Bara B.O,212657,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khajuha S.O,Fatehpur H.O,PuVVNL
Baragaon B.O,212663,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Bahua S.O,Fatehpur H.O,PuVVNL
Baraipur B.O,212656,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khakhreru S.O,Fatehpur H.O,PuVVNL
Baranpur B.O,212601,B.O directly a/w Head Office,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Barigawan B.O,212657,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khajuha S.O,Fatehpur H.O,PuVVNL
Basant Khera B.O,212657,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khajuha S.O,Fatehpur H.O,PuVVNL
Baswa B.O,212655,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khaga S.O,Fatehpur H.O,PuVVNL
Belain B.O,212641,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Dhata S.O,Fatehpur H.O,PuVVNL
Beonti B.O,212658,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Kishanpur S.O (Fatehpur),Fatehpur H.O,PuVVNL
Beragarhiwa B.O,212601,B.O directly a/w Head Office,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Berraon B.O,212620,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Asother S.O,Fatehpur H.O,PuVVNL
Berui B.O,212620,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Asother S.O,Fatehpur H.O,PuVVNL
Bhadba B.O,212664,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Malwan R.S. S.O,Fatehpur H.O,PuVVNL
Bhaisauli B.O,212657,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khajuha S.O,Fatehpur H.O,PuVVNL
Bhakharana B.O,212655,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khaga S.O,Fatehpur H.O,PuVVNL
Bhitaura B.O,212601,B.O directly a/w Head Office,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Bijauli B.O,212657,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khajuha S.O,Fatehpur H.O,PuVVNL
Bijuri B.O,212657,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khajuha S.O,Fatehpur H.O,PuVVNL
Bilanda B.O,212645,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Haswa S.O,Fatehpur H.O,PuVVNL
Bilandpur B.O,212601,B.O directly a/w Head Office,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Bindki S.O,212635,S.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,05181-257487,,Fatehpur H.O,PuVVNL
Birnai B.O,212631,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Amauli S.O,Fatehpur H.O,PuVVNL
Budhramau B.O,212621,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Ghazipur S.O (Fatehpur),Fatehpur H.O,PuVVNL
Budwan B.O,212655,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khaga S.O,Fatehpur H.O,PuVVNL
Burhwan B.O,212631,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Amauli S.O,Fatehpur H.O,PuVVNL
Chak Korra Sadat B.O,212622,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Bahrampur S.O,Fatehpur H.O,PuVVNL
Chakas Karan B.O,212663,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Bahua S.O,Fatehpur H.O,PuVVNL
Chakhendi B.O,212664,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Malwan R.S. S.O,Fatehpur H.O,PuVVNL
Chandapur B.O,212658,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Kishanpur S.O (Fatehpur),Fatehpur H.O,PuVVNL
Chandiyana S.O,212601,S.O,Non-Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Chandpur B.O,212631,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Amauli S.O,Fatehpur H.O,PuVVNL
Chheolaha S.O,212650,S.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Chhichha B.O,212635,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Bindki S.O,Fatehpur H.O,PuVVNL
Chhichhni B.O,212621,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Ghazipur S.O (Fatehpur),Fatehpur H.O,PuVVNL
Chitauli B.O,212655,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khaga S.O,Fatehpur H.O,PuVVNL
Chitishapur B.O,212651,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Husainganj S.O (Fatehpur),Fatehpur H.O,PuVVNL
Churiyani B.O,212601,B.O directly a/w Head Office,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Damapur B.O,212601,B.O directly a/w Head Office,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Dampur B.O,212641,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Dhata S.O,Fatehpur H.O,PuVVNL
Dapsaura B.O,212631,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Amauli S.O,Fatehpur H.O,PuVVNL
Datauli B.O,212663,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Bahua S.O,Fatehpur H.O,PuVVNL
Dawatpur B.O,212664,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Malwan R.S. S.O,Fatehpur H.O,PuVVNL
Dayalnagar B.O,212631,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Amauli S.O,Fatehpur H.O,PuVVNL
Deegh B.O,212635,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Bindki S.O,Fatehpur H.O,PuVVNL
Dendasai B.O,212656,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khakhreru S.O,Fatehpur H.O,PuVVNL
Deolan B.O,212621,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Ghazipur S.O (Fatehpur),Fatehpur H.O,PuVVNL
Deomai B.O,212657,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khajuha S.O,Fatehpur H.O,PuVVNL
Deori Bujurg B.O,212657,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khajuha S.O,Fatehpur H.O,PuVVNL
Devrar B.O,212641,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Dhata S.O,Fatehpur H.O,PuVVNL
Dhakauli B.O,212601,B.O directly a/w Head Office,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Dhamina Khurd B.O,212631,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Amauli S.O,Fatehpur H.O,PuVVNL
Dharmpur Saton B.O,212622,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Bahrampur S.O,Fatehpur H.O,PuVVNL
Dhata S.O,212641,S.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,05182-262224,,Fatehpur H.O,PuVVNL
Digharua B.O,212657,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khajuha S.O,Fatehpur H.O,PuVVNL
Dugrai B.O,212663,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Bahua S.O,Fatehpur H.O,PuVVNL
Ekdala B.O,212658,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Kishanpur S.O (Fatehpur),Fatehpur H.O,PuVVNL
Erayan S.O,212653,S.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,05182-242235,,Fatehpur H.O,PuVVNL
Farshi B.O,212651,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Husainganj S.O (Fatehpur),Fatehpur H.O,PuVVNL
Fatehpur City S.O,212601,S.O,Non-Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,05180-224420,,Fatehpur H.O,PuVVNL
Fatehpur Court S.O,212601,S.O,Non-Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,,Fatehpur H.O,PuVVNL
Fatehpur H.O,212601,H.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,05180-224436,,,PuVVNL
Fatehpur Tekari B.O,212655,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Khaga S.O,Fatehpur H.O,PuVVNL
Fatehpur Town S.O,212601,S.O,Non-Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,05180-224220,,Fatehpur H.O,PuVVNL
Gambhari B.O,212621,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Ghazipur S.O (Fatehpur),Fatehpur H.O,PuVVNL
Garha B.O,212658,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Kishanpur S.O (Fatehpur),Fatehpur H.O,PuVVNL
Gaura B.O,212631,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Amauli S.O,Fatehpur H.O,PuVVNL
Gaura Bujurg B.O,212650,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Chheolaha S.O,Fatehpur H.O,PuVVNL
Gauri Aura B.O,212631,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Amauli S.O,Fatehpur H.O,PuVVNL
Gauri B.O,212661,B.O,Delivery,Fatehpur,Kanpur,Uttar Pradesh,Fatehpur,fatehpur,UTTAR PRADESH,,Lalauli S.O,Fatehpur H.O,PuVVNL
